10113	728	294	760	356	101
10114	694	294	726	356	101
10115	660	294	692	356	101
# simon flickering left
10117	846	42	878	104	101
10118	880	42	912	104	101
10119	914	42	946	104	101
# Whipping right
# level 1
20001	420	2	452	64	200
20002	358	2	390	64	200
20003	262	2	318	36	200
# level 2
20004	420	66	452	128	200
20005	358	66	390	128	200
20006	262	68	318	102	200
# level 3
20007	420	134	452	196	200
20008	358	134	390	196	200
20009	261	136	350	170	200
# whipping left
# level 1
20011	2	2	34	64	200
20012	63	2	95	64	200
20013	135	4	191	38	200
# level 2
20014	2	68	34	130	200
20015	63	68	95	130	200
20016	135	70	191	104	200
# level 3
20017	2	136	34	198	200	
20018	63	136	95	198	200
20019	103	138	192	172	200
# Boomerang
90001	179	256	207	284	300
90002	151	256	179	284	300
90003	123	256	151	284	300
# Knife
# right
80001	153	46	185	64	300
# left
80002	192	46	224	64	300
# BoomerangItem
90000	192	193	222	221	300
# AquafinaItem
1000015	209	255	241	287	300
# AxeItem
1000016	193	164	223	192	300
# Aquafina
# fly right
90004	18	232	34	248	300
# fly left
90005	43	233	59	249	300
# boom
50005	67	229	99	255	300
50006	99	229	131	255	300
# Axe
90006	2	256	32	284	300
90007	32	256	62	284	300
90008	62	256	92	284	300
90009	92	256	122	284	300
# Watch
90010	95	64	125	96	300
# Flames
50002	113	7	129	37	300
50003	156	7	172	37	300
50004	198	7	214	37	300
# CamemraChangeViewObj
400111	129	67	161	99	300
# ani_id	sprite1_id	time1	sprite2_id	time2	...

[ANIMATIONS]

# ==== SIMON =========
# idle right
0	10001	100
# idle left
1	10011	100
# walk right
2	10001	100	10002	100	10003	100	10004	100
# walk left
3	10011	100	10012	100	10013	100	10014	100
# sit right
4	10021	100
# sit left
5	10031	100
# sit and whipping right
6	10022	150	10023	150	10024	150
# sit and whipping left
7	10032	150	10033	150	10034	150
# simon whipping right
8	10041	150	10042	150	10043	150
# simon whipping left
9	10051	150	10052	150	10053	150
# simon go up stairs idle right
10	10060	100
# simon go up stairs idle left
11	100601	100
# simon go up stairs right
12	10061	100	10062	100
# simon go up stairs left
13	100611	100	100622	100
# simon go down stairs idle left
14	10070	100
# simon go down stairs idle right
15	100701	100
# simon go down stairs left
16	10071	100	10072	100
# simon go down stairs right
17	100711	100	100722	100
# simon go up stairs and whipping right
18	10081	150	10082	150	10083	150
# simon go up stairs and whipping left
19	100811	150	100822	150	100833	150
# simon go down stairs and whipping left
20	10091	150	10092	150	10093	150
# simon go down stairs and whipping right
21	100911	150	100922	150	100933	150
# simon be attacking right
22	10101	100
# simon be attacking left
23	10102	100
# simon dying right
24	10111	100
# simon dying left
25	10112	100
# simon flickering right
26	10001	100	10113	100	10114	100	10115	100
# simon flickering left
27	10011	100	10117	100	10118	100	10119	100

# ==== WHIP =========
# whipping right
# level 1
9994	20001	150	20002	150	20003	150
# level 2
9996	20004	150	20005	150	20006	150
# level 3
9998	20007	150	20008	150	20009	150
# whipping left
# level 1
9995	20011	150	20012	150	20013	150
# level 2
9997	20014	150	20015	150	20016	150
# level 3
9999	20017	150	20018	150	20019	150

# ==== Boomerang ========
901	90001	100	90002	100	90003	100
902	90001	100	90003	100	90002	100

# ==== Knife ========
801	80001	100
802	80002	100

# ==== Axe ========
# left
903	90006	100	90007	100	90008	100	90009	100
# right
904	90007	100	90006	100	90009	100	90008	100

# ==== Aquafina ========
# right
905	90004	100
# left
906	90005	100
# boom
907	50005	100	50006	100	50005	100	50006	100

# ==== Watch ========
# idle
908	90010	100

# ==== FLAMES ========
501	50002	100	50003	100	50004	100

# ==== CamemraChangeViewObj ========
40111	400111	100

[ANIMATION_SETS]
# SIMON
100	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
# WHIP
200	9994	9995	9996	9997	9998
# Boomerang
999	901	902
#Knife
800	801	802
# FLAMES
500	501
# CamemraChangeViewObj
40111	40111
# Axe
903	903	904
# Aquafina
904	905	906	907
# Watch
908
